Symbol,Price,Affordability
ACB,0.77,Low-Price
F,5.17,Low-Price
GE,6.42,Low-Price
DIS,106.17,Uber-Expensive
GPRO,3.23,Low-Price
AAL,10.08,Low-Price
MSFT,174.16,Uber-Expensive
DAL,22.3,Medium-Price
CCL,13.06,Low-Price
AAPL,282.83,Uber-Expensive
FIT,6.85,Low-Price
SNAP,16.9,Medium-Price
PLUG,4.5,Low-Price
BAC,23.44,Medium-Price
BA,128.64,Uber-Expensive
INO,13.64,Low-Price
NCLH,11.55,Low-Price
UBER,30.05,Medium-Price
CGC,17.59,Medium-Price
CRON,6.45,Low-Price
USO,2.18,Low-Price
TSLA,796.98,Uber-Expensive
UAL,25.16,Medium-Price
AMD,56.6,Expensive
FB,187.42,Uber-Expensive
RCL,39.45,Medium-Price
TWTR,30.02,Medium-Price
GRPN,1.25,Low-Price
SBUX,77.51,Expensive
ZNGA,7.69,Low-Price
BABA,203.71,Uber-Expensive
T,30.45,Medium-Price
MRO,4.86,Low-Price
APHA,3.74,Low-Price
KO,46.78,Medium-Price
XOM,43.99,Medium-Price
AMZN,2376.8,Uber-Expensive
MFA,1.64,Low-Price
NIO,3.23,Low-Price
MRNA,48.03,Medium-Price
GM,22.36,Medium-Price
JBLU,8.15,Low-Price
NFLX,421.0,Uber-Expensive
SPCE,17.9,Medium-Price
NRZ,5.51,Low-Price
LUV,29.3,Medium-Price
LK,4.39,Low-Price
VSLR,5.93,Low-Price
SAVE,12.43,Low-Price
MGM,15.3,Medium-Price
VOO,263.64,Uber-Expensive
TLRY,8.31,Low-Price
PENN,15.39,Medium-Price
NVDA,297.0,Uber-Expensive
NOK,3.47,Low-Price
CPRX,4.9,Low-Price
HAL,8.93,Low-Price
LYFT,34.3,Medium-Price
SQ,63.6,Expensive
AMC,3.3,Low-Price
V,171.55,Uber-Expensive
SPY,287.08,Uber-Expensive
NKE,89.37,Expensive
SIRI,5.6,Low-Price
WORK,27.2,Medium-Price
BYND,99.77,Expensive
BRK.B,187.58,Uber-Expensive
GILD,79.9,Expensive
OXY,14.16,Low-Price
ET,7.18,Low-Price
ZM,164.4,Uber-Expensive
FCEL,2.36,Low-Price
CRBP,6.16,Low-Price
JPM,94.6,Expensive
NTDOY,54.65,Expensive
KOS,1.21,Low-Price
VKTX,6.48,Low-Price
SPHD,32.39,Medium-Price
NYMT,2.11,Low-Price
PFE,38.33,Medium-Price
BP,24.3,Medium-Price
CSCO,43.06,Medium-Price
ATVI,67.06,Expensive
INTC,59.4,Expensive
GOOGL,1270.86,Uber-Expensive
UCO,12.43,Low-Price
GLUU,8.25,Low-Price
AUY,4.77,Low-Price
VTI,144.1,Uber-Expensive
WFC,28.39,Medium-Price
WMT,128.3,Uber-Expensive
JNJ,154.29,Uber-Expensive
SNE,63.45,Expensive
PTON,31.78,Medium-Price
ROKU,128.49,Uber-Expensive
MU,45.37,Medium-Price
TCEHY,53.35,Expensive
PCG,10.48,Low-Price
PYPL,120.53,Uber-Expensive
CRM,157.63,Uber-Expensive
